call_id,date,daily_caller,call_started,call_answered,call_ended,wait_length,service_length,meets_standard
1,2021-01-01,1,8:00:00 AM,8:00:00 AM,8:14:22 AM,0,863,TRUE
2,2021-01-01,2,8:02:42 AM,8:02:42 AM,8:07:31 AM,0,289,TRUE
3,2021-01-01,3,8:08:24 AM,8:08:24 AM,8:10:13 AM,0,108,TRUE
4,2021-01-01,4,8:09:37 AM,8:09:37 AM,8:13:45 AM,0,247,TRUE
5,2021-01-01,5,8:11:10 AM,8:11:10 AM,8:15:28 AM,0,258,TRUE
6,2021-01-01,6,8:22:33 AM,8:22:33 AM,8:28:13 AM,0,340,TRUE
7,2021-01-01,7,8:23:18 AM,8:23:18 AM,8:34:14 AM,0,656,TRUE
8,2021-01-01,8,8:23:57 AM,8:23:57 AM,8:29:37 AM,0,341,TRUE
9,2021-01-01,9,8:25:08 AM,8:25:08 AM,8:25:32 AM,0,23,TRUE
10,2021-01-01,10,8:27:58 AM,8:27:58 AM,8:37:40 AM,0,582,TRUE
11,2021-01-01,11,8:28:13 AM,8:28:13 AM,8:30:31 AM,0,138,TRUE
12,2021-01-01,12,8:28:25 AM,8:29:37 AM,8:33:30 AM,72,232,FALSE
13,2021-01-01,13,8:36:04 AM,8:36:04 AM,8:46:25 AM,0,620,TRUE
14,2021-01-01,14,8:36:13 AM,8:36:13 AM,8:37:03 AM,0,50,TRUE
15,2021-01-01,15,8:43:28 AM,8:43:28 AM,8:55:37 AM,0,729,TRUE
16,2021-01-01,16,8:43:59 AM,8:43:59 AM,8:48:30 AM,0,272,TRUE
17,2021-01-01,17,8:46:05 AM,8:46:05 AM,8:56:29 AM,0,624,TRUE
18,2021-01-01,18,8:47:27 AM,8:47:27 AM,8:47:39 AM,0,13,TRUE
19,2021-01-01,19,8:53:59 AM,8:53:59 AM,9:16:07 AM,0,1328,TRUE
20,2021-01-01,20,8:54:33 AM,8:54:33 AM,9:28:35 AM,0,2043,TRUE
21,2021-01-01,21,9:00:35 AM,9:00:35 AM,9:01:15 AM,0,40,TRUE
22,2021-01-01,22,9:09:18 AM,9:09:18 AM,9:12:57 AM,0,218,TRUE
23,2021-01-01,23,9:12:34 AM,9:12:34 AM,9:14:05 AM,0,92,TRUE
24,2021-01-01,24,9:14:45 AM,9:14:45 AM,9:19:40 AM,0,296,TRUE
25,2021-01-01,25,9:23:00 AM,9:23:00 AM,9:31:16 AM,0,496,TRUE
26,2021-01-01,26,9:36:29 AM,9:36:29 AM,9:44:42 AM,0,493,TRUE
27,2021-01-01,27,9:48:44 AM,9:48:44 AM,9:56:56 AM,0,492,TRUE
28,2021-01-01,28,9:52:07 AM,9:52:07 AM,9:58:40 AM,0,392,TRUE
29,2021-01-01,29,9:56:33 AM,9:56:33 AM,10:00:16 AM,0,223,TRUE
30,2021-01-01,30,9:58:28 AM,9:58:28 AM,10:03:56 AM,0,327,TRUE
31,2021-01-01,31,10:01:19 AM,10:01:19 AM,10:12:10 AM,0,651,TRUE
32,2021-01-01,32,10:01:28 AM,10:01:28 AM,10:05:07 AM,0,219,TRUE
33,2021-01-01,33,10:03:34 AM,10:03:34 AM,10:09:53 AM,0,379,TRUE
34,2021-01-01,34,10:04:41 AM,10:04:41 AM,10:08:06 AM,0,205,TRUE
35,2021-01-01,35,10:12:53 AM,10:12:53 AM,10:19:18 AM,0,385,TRUE
36,2021-01-01,36,10:12:53 AM,10:12:53 AM,10:19:02 AM,0,369,TRUE
37,2021-01-01,37,10:27:25 AM,10:27:25 AM,10:31:54 AM,0,269,TRUE
38,2021-01-01,38,10:43:06 AM,10:43:06 AM,10:52:18 AM,0,551,TRUE
39,2021-01-01,39,10:50:34 AM,10:50:34 AM,10:53:17 AM,0,164,TRUE
40,2021-01-01,40,10:58:55 AM,10:58:55 AM,11:00:00 AM,0,65,TRUE
41,2021-01-01,41,11:04:30 AM,11:04:30 AM,11:05:44 AM,0,73,TRUE
42,2021-01-01,42,11:08:13 AM,11:08:13 AM,11:09:58 AM,0,105,TRUE
43,2021-01-01,43,11:10:56 AM,11:10:56 AM,11:14:47 AM,0,231,TRUE
44,2021-01-01,44,11:16:01 AM,11:16:01 AM,11:16:27 AM,0,25,TRUE
45,2021-01-01,45,11:18:59 AM,11:18:59 AM,11:20:16 AM,0,77,TRUE
46,2021-01-01,46,11:22:36 AM,11:22:36 AM,11:30:47 AM,0,491,TRUE
47,2021-01-01,47,11:24:51 AM,11:24:51 AM,11:25:56 AM,0,65,TRUE
48,2021-01-01,48,11:28:33 AM,11:28:33 AM,11:29:34 AM,0,62,TRUE
49,2021-01-01,49,11:28:40 AM,11:28:40 AM,11:30:51 AM,0,131,TRUE
50,2021-01-01,50,11:31:57 AM,11:31:57 AM,11:33:55 AM,0,118,TRUE
51,2021-01-01,51,11:36:07 AM,11:36:07 AM,11:42:25 AM,0,378,TRUE
52,2021-01-01,52,11:36:19 AM,11:36:19 AM,11:43:54 AM,0,455,TRUE
53,2021-01-01,53,11:37:49 AM,11:37:49 AM,11:37:54 AM,0,5,TRUE
54,2021-01-01,54,11:42:18 AM,11:42:18 AM,11:50:03 AM,0,465,TRUE
55,2021-01-01,55,11:45:03 AM,11:45:03 AM,11:46:41 AM,0,98,TRUE
56,2021-01-01,56,11:45:21 AM,11:45:21 AM,11:49:13 AM,0,232,TRUE
57,2021-01-01,57,11:49:05 AM,11:49:05 AM,11:57:05 AM,0,480,TRUE
58,2021-01-01,58,11:55:09 AM,11:55:09 AM,11:57:51 AM,0,162,TRUE
59,2021-01-01,59,11:56:45 AM,11:56:45 AM,12:05:17 PM,0,512,TRUE
60,2021-01-01,60,11:59:48 AM,11:59:48 AM,12:03:24 PM,0,216,TRUE
61,2021-01-01,61,12:03:57 PM,12:03:57 PM,12:08:34 PM,0,277,TRUE
62,2021-01-01,62,12:08:13 PM,12:08:13 PM,12:08:16 PM,0,3,TRUE
63,2021-01-01,63,12:14:28 PM,12:14:28 PM,12:17:11 PM,0,163,TRUE
64,2021-01-01,64,12:14:59 PM,12:14:59 PM,12:24:06 PM,0,547,TRUE
65,2021-01-01,65,12:16:43 PM,12:16:43 PM,12:17:08 PM,0,25,TRUE
66,2021-01-01,66,12:26:38 PM,12:26:38 PM,12:27:16 PM,0,38,TRUE
67,2021-01-01,67,12:28:23 PM,12:28:23 PM,12:43:14 PM,0,891,TRUE
68,2021-01-01,68,12:32:14 PM,12:32:14 PM,12:32:17 PM,0,3,TRUE
